ts_code,list_date,delist_date
AKRO,20190621,
AKRRF,20130611,
AKRTF,20141202,
AKRXQ,19880408,
AKRYY,20170117,
AKSJF,20171102,
AKSY,19960514,
AKTAF,20140113,
AKTS,20150528,
AKTX,20130507,
AKUS,20200626,
AKVA,20120725,
AKZOF,20140113,
AKZOY,19860211,
AL,20110419,
ALABF,20200316,
ALAC,20181121,
ALACF,20130219,
ALACU,20181024,
ALAN,20110726,
ALARF,20120710,
ALAXL,20070717,
ALB,19940222,
ALBBY,20190930,
ALBHF,20180720,
ALBKF,20140113,
ALBKY,20010109,
ALBO,20070509,
ALBY,19990316,
ALC,20190409,
ALCCF,20170224,
ALCN,19970321,
ALCO,19721214,
ALDA,20110512,
ALDS,20190718,
ALDVF,20140113,
ALDX,20140502,
ALE,19620702,
ALEAF,20161202,
ALEC,20190207,
ALEDY,20130917,
ALEX,20120618,
ALFDF,20190408,
ALFFF,20140113,
ALFRY,20180103,
ALFVF,20140113,
ALFVY,20081022,
ALG,19930308,
ALGDF,20160315,
ALGGF,20100908,
ALGGY,20130209,
ALGN,20001120,
ALGT,20061208,
ALGWF,20170912,
ALGXY,20110502,
ALIAF,20101115,
ALID,20190815,
ALIF,19981217,
ALIM,20100423,
ALINPRA,20170224,
ALINPRB,20180319,
ALINPRE,20180118,
ALIOF,20140113,
ALIZF,20140113,
ALIZY,20200113,
ALJJ,19960328,
ALK,19620702,
ALKEF,20140113,
ALKHF,20110206,
ALKM,20140718,
ALKN,19980720,
ALKS,19910716,
ALL,19930603,
ALLE,20131118,
ALLGF,20171024,
ALLIF,20161020,
ALLK,20180719,
ALLM,20140205,
ALLN,19961101,
ALLO,20181011,
ALLPRB,20170918,
ALLPRG,20180403,
ALLPRH,20190802,
ALLPRI,20191107,
ALLQ,20030708,
ALLT,20061116,
ALLVF,20150519,
ALLWF,20150413,
ALLXF,20140113,
ALLY,20140128,
ALMC,19931028,
ALME,20070824,
ALMFF,19990721,
ALMMF,20140113,
ALMTF,20130528,
ALNA,20171102,
ALNPF,20140113,
ALNPY,20010109,
ALNY,20040312,
ALO,20111103,
ALOD,20050617,
ALORY,20160418,
ALOT,19801114,
ALPC,20190628,
ALPE,19970716,
ALPIB,20190628,
ALPKF,20161213,
ALPMF,20140113,
ALPMY,20081208,
ALPN,20150617,
ALPP,20170113,
ALPRA,20190301,
ALRGF,20180125,
ALRHF,20130111,
ALRM,20150626,
ALRN,20170629,
ALRS,19910417,
ALRT,19990106,
ALRY,20030814,
ALSE,19831025,
ALSI,20010305,
ALSK,19991118,
ALSMY,20081016,
ALSN,20120315,
ALSRF,20161010,
ALSSF,20040504,
ALST,20050627,
ALSWF,20140113,
ALT,20050921,
ALTAF,19600101,
ALTB,20161116,
ALTCY,20180416,
ALTD,20170621,
ALTG,20190425,
ALTM,20170502,
ALTN,20080130,
ALTPF,20171129,
ALTR,20171101,
ALTSF,20140113,
ALTUF,20200513,
ALTX,19750515,
ALUS,20200110,
ALUSU,20191126,
ALV,19970428,
ALVLF,19600101,
ALVNF,20200210,
ALVOF,20131212,
ALVRQ,20140116,
ALVVF,20150908,
ALX,19691007,
ALXEF,20131004,
ALXN,19960227,
ALXXF,20131210,
ALYA,19960926,
ALYE,19951012,
ALYI,20021213,
AM,20170504,
AMADF,20100812,
AMADY,20110606,
AMAG,19860611,
AMAL,20180613,
AMANF,20140610,
AMAR,20120725,
AMAT,19721214,
AMAZ,20051107,
AMBA,20121010,
AMBBY,20170731,
AMBC,20130501,
AMBD,20040722,
AMBFF,20170407,
AMBK,20120725,
AMBO,20140519,
AMBS,20100911,
AMBUY,20100630,
AMBZ,19990604,
AMC,20131218,
AMCCF,20190628,
AMCF,20100126,
AMCI,20190123,
AMCIU,20181116,
AMCR,20190611,
AMCT,20160907,
AMCX,20110618,
AMCY,19971106,
AMCZF,20140113,
AMD,19721214,
AMDDW,20181120,
AMDHF,20140113,
AMDLY,19910507,
AMDUF,20200324,
AMDWF,20180531,
AME,19970801,
AMED,19940106,
AMEFF,20180730,
AMEH,19990409,
AMEN,19970924,
AMEUF,20131209,
AMFC,19960401,
AMFL,20010808,
AMFPF,20010612,
AMG,19971121,
AMGDF,20190213,
AMGN,19830617,
AMGXF,20170703,
AMGY,20100524,
AMH,20130801,
AMHC,20200110,
AMHCU,20191121,
AMHD,19981202,
AMHFF,19600101,
AMHPF,19600101,
AMHV,20110207,
AMIGF,20140113,
AMIGY,20081017,
AMIH,20100809,
AMIN,20100813,
AMIQF,20130222,
AMIUF,20190509,
AMIVF,20150505,
AMK,20190718,
AMKAF,19880329,
AMKBF,19880329,
AMKBY,20120216,
AMKR,19980429,
AMKYF,20171213,
AMLC,19950724,
AMLH,20020131,
AMLLF,20140113,
AMLM,20061127,
AMLTF,20140113,
AMLYY,20040114,
AMLZF,20040302,
AMMCF,20140113,
AMMHF,20130507,
AMMJ,19960222,
AMMX,19930223,
AMN,20011030,
AMNB,19931231,
AMNC,20130904,
AMNCB,20140425,
AMNE,20010918,
