,ticker,eps_g1,eps_g2,eps_g3
113,BH,2.8158963148032474,-1.0043889112812934,-1.1258046716939487
114,BHE,1.4499999999999995,0.409090909090909,0.6190476190476192
115,BHF,115.0909090909091,-2.1364942528735638,-1.0294117647058825
116,BIGC,2.176470588235294,3.2500000000000004,-25.5
117,BIIB,1.4214046822742474,-0.2342007434944237,-0.0636704119850187
118,BILI,1.3333333333333333,1.119047619047619,1.377777777777778
119,BILL,1.625,2.714285714285715,3.9375
120,BIMI,1.5298821548821548,1.5514132553606237,-0.8527435610302351
121,BIOL,6.583333333333334,-0.4130434782608694,-0.25
122,BIOX,4.333333333333334,3.0,-1.1052631578947367
123,BITF,33.99999999999999,-1.3333333333333337,-2.333333333333333
124,BKI,2.877142857142857,2.986175115207373,-0.1636506687647521
125,BKNG,2.798489171788119,3.5115197081922065,-2.3919095283852965
126,BKR,9.5,-1.1311475409836065,-0.722972972972973
127,BLBD,7.875,9.75,0.1477272727272727
128,BLBX,2.333333333333333,-inf,-inf
129,BLD,0.7745506535947713,0.5225743348982785,0.241149900985693
130,BLDP,1.714285714285714,1.3333333333333337,1.6666666666666667
131,BLDR,1.405857740585774,3.289156626506024,0.9159663865546218
132,BLZE,1.846153846153846,1.0499999999999998,-inf
133,BMA,1.282051282051282,0.0846153846153845,-0.1959459459459459
134,BMO,2.703947368421052,0.4830508474576272,0.4545454545454546
135,BMRN,1.1428571428571426,6.000000000000001,-2.291666666666667
136,BMTX,7.774193548387097,8.361940298507463,-1.0569786204114564
137,BNGO,1.1607142857142858,-0.1249999999999998,-1.0625
138,BODY,1.8,1.0,-inf
139,BORR,1.4772727272727275,-0.1666666666666666,0.5000000000000001
140,BOSC,2.0,-0.8571428571428571,-0.5
141,BP,2.0760869565217392,-5.576642335766422,0.7749999999999998
142,BPT,inf,inf,6.0
143,BRDG,inf,inf,inf
144,BRFH,2.0,0.4000000000000001,-4.0
145,BRG,1.809523809523809,-1.55,0.0540540540540539
146,BRIV,inf,inf,inf
147,BRLT,inf,inf,inf
148,BRT,4.617647058823529,-3.818181818181818,-0.7777777777777777
149,BSAC,1.1428571428571426,-0.086206896551724,0.4594594594594596
150,BSET,7.233333333333335,0.4249999999999998,-0.2
151,BSFC,2.0,0.3333333333333334,-inf
152,BSM,10.799999999999995,-2.2,3.769230769230769
153,BTN,13.499999999999998,-1.0571428571428572,-0.4166666666666666
154,BUD,1.6333333333333335,-0.1696428571428571,-0.7692307692307693
155,BVH,2.001075268817204,2.1842767295597483,-0.7416491963661775
156,BVN,19.3,21.544871794871792,-2.2884615384615383
157,BVS,4.3,3.75,-inf
158,BWMX,inf,inf,
159,BYFC,2.0,-1.076923076923077,-3.5000000000000004
160,BYND,3.935483870967742,2.674418604651163,2.0975609756097566
161,BYRN,1.2000000000000002,3.5625,1.0625
162,BZFD,4.666666666666667,-0.5599999999999999,inf
163,CAAS,2.1,-1.0,-2.545454545454546
164,CAL,7.250000000000001,-1.3708333333333331,3.0526315789473686
165,CAMP,4.666666666666667,-0.0384615384615384,-0.5147058823529412
166,CAN,inf,-18.142857142857142,-6.125
167,CAPL,1.692307692307692,-2.3,0.8235294117647057
168,CAR,1.790408525754885,-4.995884773662551,-5.559055118110236
169,CARE,1.0952380952380951,0.0,0.8181818181818182
170,CARR,1.446300211416491,1.0172093023255817,-0.5045238095238095
171,CASA,3.5,-7.500000000000001,-0.8928571428571428
172,CASS,0.258078231292517,0.2372448979591837,0.225
173,CBZ,2.75,0.1956521739130435,-inf
174,CC,2.230769230769231,1.5087719298245614,12.7
175,CCI,3.36063936063936,3.0782268578878744,0.4132471008028546
176,CCK,1.5578947368421054,0.10828025477707,-7.794642857142857
177,CCRD,3.682291666666667,3.791666666666667,0.0927419354838709
178,CCRN,3.516129032258064,2.075471698113207,14.923076923076922
179,CDLX,1.6223776223776227,-2.070588235294118,0.5
180,CDNA,9.25,36.0,5.2
181,CECE,12.0,1.6666666666666667,-0.2
182,CEIX,28.5,-1.1733333333333331,5.470588235294118
183,CELH,11.0,8.0,-1.0
184,CEPU,1.7903225806451613,2.1153846153846154,-0.4560439560439561
185,CF,3.894736842105264,5.014285714285714,7.15
186,CFRX,2.2857142857142856,1.8333333333333333,-1.3125
187,CFVI,1.0000000000000002,-inf,
188,CGNT,5.428571428571428,-2.571428571428571,-1.2666666666666668
189,CHCI,2.287634408602151,1.041666666666667,1.0750000000000002
190,CHDN,2.1847826086956523,0.1868131868131868,1.5813953488372097
191,CHEF,13.000000000000002,-1.0816326530612246,-1.2285714285714286
192,CHH,1.1176470588235292,4.57142857142857,7.071428571428571
193,CHRA,2.583333333333333,-0.9917355371900828,-0.2941176470588236
194,CHRW,0.8541666666666667,0.6015624999999998,0.5963302752293577
195,CHTR,0.6711740924206256,0.55239442777852,0.5463117027176928
196,CHX,3.333333333333333,5.0,-0.9495192307692308
197,CIG,3.333333333333333,-0.111111111111111,0.0
198,CIO,inf,-0.5233644859813085,-326.0
199,CISO,1.5,2.0,26.0
200,CLBT,7.500000000000001,inf,inf
201,CLDX,1.2647058823529411,0.1666666666666666,-0.0
202,CLF,10.1390977443609,14.00375939849624,-54.96052631578947
203,CLFD,1.090909090909091,1.4444444444444444,2.260869565217391
204,CLH,1.221311475409836,1.128205128205128,0.2857142857142858
205,CLR,3.240506329113924,1.2916666666666663,-8.846153846153845
206,CLST,inf,,
207,CMC,1.3738317757009344,4.672727272727273,2.584905660377358
208,CMCL,3.1904761904761907,0.2162162162162162,0.5000000000000001
209,CMMB,1.076923076923077,1.0,0.6428571428571428
210,CMPO,inf,inf,inf
211,CNM,inf,-inf,inf
212,CNQ,1.2169811320754718,1.2608695652173914,2.7777777777777777
213,CNXN,0.7913752913752912,0.7307692307692306,0.2604166666666666
214,COCP,5.25,-0.0,-inf
215,CODI,5.776315789473684,6.464285714285714,5.526785714285714
216,COKE,1.068359375,0.7877461706783369,-0.8820422535211268
217,COMP,11.0,-0.7305389221556886,-2.2285714285714286
218,COMS,5.6,-0.3478260869565218,-0.1666666666666666
219,COOK,21.4,-1.1944444444444444,15.0
220,COP,1.5548387096774194,4.853333333333333,-3.7260273972602738
221,CPA,3.56060606060606,-1.1807692307692308,-1.2957446808510638
222,CPG,25.74242424242424,24.604166666666668,inf
223,CPLP,1.210526315789474,4.421052631578948,0.5121951219512196
224,CPSH,inf,inf,3.0
225,CPSS,1.3333333333333333,2.571428571428572,3.5
226,CPT,14.133333333333336,1.4516129032258065,6.103448275862069
227,CRGE,2.857142857142857,8.0,-inf
228,CRGY,inf,-inf,-inf
229,CRHC,3.0,-1.523809523809524,inf
230,CRT,1.1071428571428568,0.6470588235294118,0.4736842105263159
231,CRU,1.2,1.1666666666666667,inf
232,CRUS,1.379310344827586,2.9047619047619047,0.130890052356021
233,CRWS,3.092592592592593,3.404761904761905,0.0714285714285714
234,CSIQ,3.1944444444444446,4.733333333333333,0.9980392156862744
235,CSL,2.0641711229946527,2.77319587628866,0.6216216216216216
236,CSTE,5.4,-0.5609756097560975,0.7142857142857141
237,CSTL,1.9386554621848735,2.3337104072398187,0.5025083612040132
238,CTRA,18.0,1.3870967741935485,4.2727272727272725
239,CTRM,3.1428571428571423,9.5,-0.639344262295082
240,CTS,12.0,0.7027027027027027,-0.3999999999999999
241,CTSO,1.272727272727273,1.1,-inf
242,CUTR,16.756410256410255,19.608695652173918,-1.0836120401337794
243,CVCO,1.2705479452054795,1.1365313653136533,3.042452830188679
244,CVE,9.333333333333334,6.875,0.7000000000000001
245,CVX,2.71875,3.4722222222222223,-8.969696969696969
246,CWEN,15.3,-10.333333333333336,-0.65
247,CWENA,15.3,-10.333333333333336,-0.65
