ticker,revenue_g1,revenue_g2,revenue_g3
INDB,0.4426229508196721,0.336,0.25
INUV,0.7692307692307693,0.7272727272727273,0.5384615384615384
IRS,1.8181818181818181,-0.8702928870292888,-0.8821989528795812
JAKK,0.7023809523809523,0.45461309523809523,0.2240444214876033
JBHT,0.32625207141753787,0.3049531785620816,0.27447218860700684
KALU,1.1082308691957814,1.9461238198983297,1.9484145220588234
KEX,0.24642857142857144,0.22937625754527163,0.20612244897959184
KIQ,1.25,1.5,0.5
KNX,0.4919945596930166,0.45781013874653387,0.3893887660212884
KRG,1.9,1.8115942028985508,1.3970588235294117
LCTX,4.0,inf,inf
LNG,1.6539608882996355,1.4220064724919095,1.3527090060997489
LSI,0.37433155080213903,0.3546511627906977,0.32335329341317365
LTRX,0.9411764705882353,0.8235294117647058,0.4411764705882353
