open,high,low,close,Adj Close,volume,datetime,MA10,MA20,MA50,MA150,MA200,ticker
24.79,24.81,24.76,24.77,24.770000457763672,1252200,2021-07-09,24.81,24.7,24.45,24.51,24.66,UUP
1134.9,1141.03,1122.47,1133.27,1132.1923828125,14800,2021-07-09,1153.51,1141.23,1167.24,1123.23,1067.69,WTM
38.17,38.32,38.17,38.28,38.279998779296875,32400,2021-07-09,38.68,38.58,38.08,36.57,36.19,YCS
23.61,23.64,23.16,23.31,23.309999465942383,161500,2021-07-09,23.36,23.05,23.59,25.56,28.07,ZSL
114.52,119.27,114.0,117.53,117.52999877929688,677000,2021-07-09,103.26,100.13,87.58,83.13,82.46,BHVN
22.25,23.11,22.21,22.79,22.790000915527344,917700,2021-07-09,21.34,20.75,20.08,19.07,17.35,EVH
63.47,64.11,62.65,63.48,63.47999954223633,350200,2021-07-09,65.69,63.8,60.54,98.32,99.03,HAE
457.65,458.12,455.36,455.65,452.575439453125,416900,2021-07-09,449.22,439.11,441.95,417.36,417.96,HUM
237.17,238.47,232.75,234.99,231.72415161132812,4030100,2021-07-09,232.58,227.76,210.83,194.95,182.21,LLY
412.53,413.25,410.64,412.11,406.6754150390625,2078900,2021-07-09,406.32,401.78,405.92,370.43,359.87,UNH
113.18,116.34,111.98,115.39,113.61009979248047,57000,2021-07-09,116.14,116.24,116.91,118.97,112.41,USPH
88.61,89.2,88.18,88.8,87.07569122314453,475900,2021-07-09,86.97,87.28,85.49,84.89,84.59,BAH
57.69,58.43,57.35,58.39,57.44226837158203,504400,2021-07-09,58.2,59.72,62.38,61.73,60.43,BWXT
71.34,72.28,70.91,71.19,71.19000244140625,210800,2021-07-09,73.81,74.53,81.54,84.08,79.44,DY
137.16,137.85,135.35,136.41,136.41000366210938,180300,2021-07-09,137.04,137.64,138.96,127.36,122.23,FCN
207.07,207.89,204.96,206.22,201.35838317871094,297400,2021-07-09,208.97,211.57,214.39,193.13,182.93,HII
372.48,373.51,369.38,371.82,365.797607421875,357400,2021-07-09,368.48,370.05,369.25,328.8,324.14,NOC
40.26,40.63,39.96,40.39,40.38999938964844,211500,2021-07-09,39.84,39.78,40.6,39.0,37.44,PSN
88.68,90.14,88.4,89.79,89.58887481689453,904200,2021-07-09,89.81,89.86,93.1,84.77,79.19,PWR
72.05,72.49,71.36,72.43,69.637939453125,494300,2021-07-09,71.28,70.93,70.59,67.58,66.93,ADC
17.87,17.98,17.6,17.71,16.934385299682617,51800,2021-07-09,17.56,17.77,17.95,16.83,15.8,BRT
16.52,17.04,16.44,16.54,16.43132972717285,30800,2021-07-09,16.71,16.08,15.37,13.61,11.88,CDR
38.53,38.97,38.34,38.97,36.54533004760742,218500,2021-07-09,38.72,38.74,39.49,40.59,39.33,LTC
30.99,31.44,30.92,31.44,29.905241012573242,3852000,2021-07-09,31.13,31.6,31.48,28.74,27.62,VICI
71.06,71.18,67.55,67.8,67.80000305175781,2413400,2021-07-09,66.01,63.92,70.49,77.04,67.34,DQ
135.23,135.74,134.65,135.3,128.8609161376953,4083689,2021-07-09,136.9,138.73,138.81,127.43,124.05,IBM
59.56,59.66,54.79,56.76,56.7599983215332,3107500,2021-07-09,54.19,47.4,40.06,49.57,52.12,JKS
9.41,9.59,9.27,9.55,9.550000190734863,167500,2021-07-09,10.03,10.31,10.01,10.62,9.73,NPTN
35.28,36.46,34.71,36.37,36.369998931884766,417700,2021-07-09,39.48,39.27,36.95,35.94,31.74,POLY
88.84,89.65,88.59,88.9,87.05451965332031,219000,2021-07-09,88.45,90.62,90.18,92.14,89.85,SAIC
21.05,21.12,20.81,21.12,20.955873489379883,1160700,2021-07-09,21.24,21.4,19.97,17.81,17.22,SWCH
51.74,52.09,51.27,52.0,49.98080062866211,116800,2021-07-09,52.47,53.1,53.65,50.68,49.71,NWN
53.0,53.27,52.53,53.09,51.452613830566406,32600,2021-07-09,53.44,54.42,55.33,48.22,45.78,UTL
22.75,23.15,22.66,23.0,23.0,129900,2021-07-09,23.15,23.04,24.38,24.82,24.31,GCP
12.86,13.1,12.66,12.77,12.770000457763672,1028600,2021-07-09,12.08,12.64,13.99,10.82,9.36,RFP
21.34,21.56,21.33,21.49,19.83978843688965,45214865,2021-07-09,21.75,21.8,22.55,22.4,22.1,T
55.64,56.43,55.06,56.34,55.85051727294922,500500,2021-07-09,57.57,58.7,57.05,53.66,50.26,WWE
37.04,37.98,37.03,37.49,37.4900016784668,276400,2021-07-09,37.04,37.21,36.92,37.45,34.71,ATGE
219.83,221.42,219.31,220.77,218.90823364257812,2009300,2021-07-09,217.7,215.09,210.69,205.85,207.92,DG
59.64,60.09,59.5,59.7,57.925899505615234,3037300,2021-07-09,60.12,60.46,61.89,59.75,60.03,GIS
64.08,64.54,64.06,64.28,62.0343132019043,1453000,2021-07-09,64.08,64.18,65.12,62.22,62.84,K
80.43,80.95,79.99,80.82,79.59941101074219,463100,2021-07-09,80.17,80.44,80.37,79.21,76.93,LW
71.7,72.25,71.41,71.98,71.9764404296875,387806,2021-07-09,71.39,71.9,74.13,68.99,66.77,POST
46.31,47.47,46.26,46.49,46.4900016784668,521700,2021-07-09,45.4,46.24,48.21,47.46,45.54,THS
32.66,32.78,32.39,32.55,32.20712661743164,148732,2021-07-09,32.86,32.7,31.82,31.0,30.53,TR
1556.14,1566.16,1545.3,1564.53,1564.530029296875,177500,2021-07-09,1522.81,1466.35,1458.63,1330.07,1285.57,AZO
23.7,24.18,23.67,24.08,23.13698959350586,1248400,2021-07-09,23.63,24.04,24.2,20.72,19.92,HRB
22.69,23.59,22.69,23.39,23.389999389648438,493800,2021-07-09,23.0,23.25,25.05,27.77,27.11,MTOR
18.94,19.36,18.73,19.1,19.100000381469727,660200,2021-07-09,19.37,20.18,17.1,12.89,11.85,TEN
