open,high,low,close,Adj Close,volume,datetime,MA10,MA20,MA50,MA150,MA200,ticker
50.39,50.39,49.41,49.7,49.70000076293945,18200.0,2022-07-11,49.51,47.69,47.21,46.64,45.14,ARTNA
14.15,14.48,14.15,14.33,14.329999923706056,68000.0,2022-07-11,14.31,13.88,13.05,11.34,11.33,CWCO
66.48,67.67,66.48,67.0,67.0,185300.0,2022-07-11,66.86,65.23,64.36,64.0,63.53,OTTR
21.49,22.2,21.21,21.71,20.19547271728516,649200.0,2022-07-11,21.42,21.49,19.07,12.71,10.55,BPT
12.8,12.8,12.4,12.54,11.769999504089355,172900.0,2022-07-11,11.88,11.28,11.12,10.46,9.96,MVO
19.06,19.07,19.03,19.05,19.049999237060547,4400.0,2022-07-11,19.01,18.99,17.49,16.48,16.93,SRLP
1523.0,1548.2,1507.47,1547.0,1547.0,16500.0,2022-07-11,1522.76,1539.51,1493.47,1325.79,1309.78,TPL
14.64,14.97,14.61,14.82,14.81999969482422,434500.0,2022-07-11,13.89,13.85,13.49,11.41,10.82,EDZ
14.36,14.49,14.29,14.49,14.489999771118164,5400.0,2022-07-11,14.06,14.04,13.11,11.58,11.2,EFU
41.1,41.79,41.1,41.71,41.709999084472656,51200.0,2022-07-11,41.61,40.83,40.69,40.51,40.37,EIG
15.19,15.26,15.13,15.21,15.210000038146973,238500.0,2022-07-11,14.86,14.83,14.65,13.66,13.36,EUM
14.82,15.06,14.28,15.01,15.010000228881836,4594500.0,2022-07-11,13.75,12.32,10.86,10.16,10.44,JDST
226.98,231.95,224.21,225.82,225.82000732421875,68100.0,2022-07-11,229.0,222.04,218.29,216.29,208.17,KNSL
16.2,16.2,15.76,15.88,15.880000114440918,74600.0,2022-07-11,16.18,15.58,15.44,14.92,14.77,NXDT
100.18,100.18,100.13,100.16,100.16000366210938,43700.0,2022-07-11,100.14,100.14,100.13,100.11,100.11,OPER
20.0,20.01,19.99,20.0,20.0,1212100.0,2022-07-11,19.99,19.96,19.9,19.85,19.85,PSTH
62.96,65.54,62.04,64.41,64.41000366210938,7067700.0,2022-07-11,64.6,62.34,54.06,46.61,48.83,SOXS
29.35,30.76,29.35,30.54,30.540000915527344,207500.0,2022-07-11,30.46,29.83,26.93,23.25,23.77,SSG
28.55,28.69,28.55,28.62,28.6200008392334,77600.0,2022-07-11,28.17,28.04,27.73,26.85,26.63,USDU
28.86,28.92,28.8,28.9,28.899999618530277,4233500.0,2022-07-11,28.28,28.08,27.75,26.63,26.32,UUP
1240.0,1256.42,1240.0,1247.21,1247.2099609375,13500.0,2022-07-11,1252.48,1242.36,1199.0,1097.48,1092.81,WTM
58.7,58.8,58.43,58.43,58.43000030517578,46500.0,2022-07-11,57.39,56.89,54.19,47.0,45.32,YCS
35.61,36.17,35.2,36.11,36.11000061035156,103800.0,2022-07-11,33.41,31.01,28.94,26.21,26.44,ZSL
145.29,145.68,145.0,145.0,145.0,793800.0,2022-07-11,145.25,144.84,135.56,126.16,127.34,BHVN
