,ts_code,symbol,name,area,industry
1382,603701.SH,603701,德宏股份,浙江,汽车配件
1383,603703.SH,603703,盛洋科技,浙江,通信设备
1384,603706.SH,603706,东方环宇,新疆,供气供热
1385,603707.SH,603707,健友股份,江苏,生物制药
1386,603708.SH,603708,家家悦,山东,超市连锁
1387,603709.SH,603709,中源家居,浙江,家居用品
1388,603711.SH,603711,香飘飘,浙江,软饮料
1389,603712.SH,603712,七一二,天津,通信设备
1390,603713.SH,603713,密尔克卫,上海,仓储物流
1391,603716.SH,603716,塞力医疗,湖北,医药商业
1392,603717.SH,603717,天域生态,重庆,环境保护
1393,603718.SH,603718,海利生物,上海,农业综合
1394,603719.SH,603719,良品铺子,湖北,食品
1395,603721.SH,603721,中广天择,湖南,影视音像
1396,603722.SH,603722,阿科力,江苏,化工原料
1397,603725.SH,603725,天安新材,广东,塑料
1398,603726.SH,603726,朗迪集团,浙江,家用电器
1399,603727.SH,603727,博迈科,天津,石油开采
1400,603728.SH,603728,鸣志电器,上海,电气设备
1401,603729.SH,603729,龙韵股份,上海,广告包装
1402,603730.SH,603730,岱美股份,上海,汽车配件
1403,603733.SH,603733,仙鹤股份,浙江,造纸
1404,603737.SH,603737,三棵树,福建,染料涂料
1405,603738.SH,603738,泰晶科技,湖北,元器件
1406,603739.SH,603739,蔚蓝生物,山东,农业综合
1407,603755.SH,603755,日辰股份,山东,食品
1408,603757.SH,603757,大元泵业,浙江,专用机械
1409,603758.SH,603758,秦安股份,重庆,汽车配件
1410,603759.SH,603759,海天股份,四川,水务
1411,603766.SH,603766,隆鑫通用,重庆,摩托车
1412,603767.SH,603767,中马传动,浙江,汽车配件
1413,603768.SH,603768,常青股份,安徽,汽车配件
1414,603773.SH,603773,沃格光电,江西,元器件
1415,603776.SH,603776,永安行,江苏,公共交通
1416,603777.SH,603777,来伊份,上海,食品
1417,603778.SH,603778,乾景园林,北京,建筑工程
1418,603779.SH,603779,威龙股份,山东,红黄酒
1419,603786.SH,603786,科博达,上海,汽车配件
1420,603787.SH,603787,新日股份,江苏,摩托车
1421,603788.SH,603788,宁波高发,浙江,汽车配件
1422,603789.SH,603789,星光农机,浙江,农用机械
1423,603790.SH,603790,雅运股份,上海,染料涂料
1424,603797.SH,603797,联泰环保,广东,环境保护
1425,603798.SH,603798,康普顿,山东,石油加工
1426,603799.SH,603799,华友钴业,浙江,小金属
1427,603800.SH,603800,道森股份,江苏,专用机械
1428,603801.SH,603801,志邦家居,安徽,家居用品
1429,603803.SH,603803,瑞斯康达,北京,通信设备
1430,603806.SH,603806,福斯特,浙江,塑料
1431,603808.SH,603808,歌力思,深圳,服饰
1432,603809.SH,603809,豪能股份,四川,汽车配件
1433,603810.SH,603810,丰山集团,江苏,农药化肥
1434,603811.SH,603811,诚意药业,浙江,化学制药
1435,603813.SH,603813,原尚股份,广东,仓储物流
1436,603815.SH,603815,交建股份,安徽,建筑工程
1437,603816.SH,603816,顾家家居,浙江,家居用品
1438,603817.SH,603817,海峡环保,福建,环境保护
1439,603818.SH,603818,曲美家居,北京,家居用品
1440,603819.SH,603819,神力股份,江苏,电气设备
1441,603822.SH,603822,嘉澳环保,浙江,化工原料
1442,603823.SH,603823,百合花,浙江,染料涂料
1443,603825.SH,603825,华扬联众,北京,互联网
1444,603826.SH,603826,坤彩科技,福建,染料涂料
1445,603828.SH,603828,柯利达,江苏,装修装饰
1446,603829.SH,603829,洛凯股份,江苏,电气设备
1447,603833.SH,603833,欧派家居,广东,家居用品
1448,603836.SH,603836,海程邦达,山东,仓储物流
1449,603838.SH,603838,四通股份,广东,陶瓷
1450,603839.SH,603839,安正时尚,浙江,服饰
1451,603843.SH,603843,正平股份,青海,建筑工程
1452,603848.SH,603848,好太太,广东,家居用品
1453,603855.SH,603855,华荣股份,上海,专用机械
1454,603856.SH,603856,东宏股份,山东,塑料
1455,603858.SH,603858,步长制药,山东,中成药
1456,603859.SH,603859,能科科技,北京,专用机械
1457,603860.SH,603860,中公高科,北京,建筑工程
1458,603861.SH,603861,白云电器,广东,电气设备
1459,603863.SH,603863,松炀资源,广东,造纸
1460,603866.SH,603866,桃李面包,辽宁,食品
1461,603867.SH,603867,新化股份,浙江,化工原料
1462,603868.SH,603868,飞科电器,上海,家用电器
1463,603869.SH,603869,新智认知,广西,软件服务
1464,603871.SH,603871,嘉友国际,北京,仓储物流
1465,603876.SH,603876,鼎胜新材,江苏,铝
1466,603877.SH,603877,太平鸟,浙江,服饰
1467,603878.SH,603878,武进不锈,江苏,钢加工
1468,603879.SH,603879,永悦科技,福建,化工原料
1469,603880.SH,603880,南卫股份,江苏,医疗保健
1470,603881.SH,603881,数据港,上海,电信运营
1471,603882.SH,603882,金域医学,广东,医疗保健
1472,603883.SH,603883,老百姓,湖南,医药商业
1473,603885.SH,603885,吉祥航空,上海,空运
1474,603886.SH,603886,元祖股份,上海,食品
1475,603887.SH,603887,城地香江,上海,软件服务
1476,603888.SH,603888,新华网,北京,互联网
1477,603889.SH,603889,新澳股份,浙江,纺织
