date,code,close,preclose,volume,isST,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
2015/9/14,sz.300059,33.14,36.82,60511938,0,34.975,37.918,46.7392,53.1594,,87770072.65,108420412.2,0.104324324,0.108420769,-5,0,-5
2015/9/15,sz.300059,29.83,33.14,63200467,0,34.42,36.9145,46.2234,53.06493333,,87778069.65,107308083.8,0.052414231,0.073890096,-5,0,-5
2015/9/16,sz.300059,32.81,29.83,70641378,0,34.382,36.1585,45.8576,52.989,,87980218.95,106116265.8,0.086423841,0.088692472,-5,0,-5
2015/9/17,sz.300059,32.62,32.81,91066948,0,34.315,35.5695,45.5902,52.91526667,,88511516.85,106169414.4,0.018947368,0.092792281,-5,0,-5
2015/9/18,sz.300059,34.41,32.62,78360565,0,34.442,34.98,45.3586,52.86966667,,88828619.35,107736625.7,0.0420957,0.058369099,-5,0,-5
2015/9/21,sz.300059,37.57,34.41,95639895,0,34.795,34.593,45.0982,52.84513333,,89771982.25,106008490.8,0.118154762,0.120211361,-5,0,-5
2015/9/22,sz.300059,37.5,37.57,99356743,0,34.865,34.4065,44.7352,52.82013333,,91215238.9,104521903.6,0.008064516,0.07378741,-5,0,-5
2015/9/23,sz.300059,37.5,37.5,0,0,34.848,34.426,44.2616,52.79513333,,88657286.85,99723641.06,0,0,-5,0,-5
2015/9/24,sz.300059,37.5,37.5,0,0,34.97,34.631,43.878,52.77013333,,84969715.4,95944958.84,0,0,-5,0,-5
2015/9/25,sz.300059,37.5,37.5,0,0,35.038,35.003,43.5078,52.74513333,,79312071.1,92187120.6,0,0,-5,0,-5
2015/9/28,sz.300059,37.5,37.5,0,0,35.474,35.2245,43.0974,52.72013333,,73330024.3,89172254.12,0,0,-5,0,-5
2015/9/29,sz.300059,37.5,37.5,0,0,36.241,35.3305,42.6094,52.69513333,,66646718.7,86137430.34,0,0,-5,0,-5
2015/9/30,sz.300059,35.98,37.5,101115504,0,36.558,35.47,42.087,52.66,,66664248.4,84827345.14,0.053406998,0.104951006,-5,0,-5
2015/10/8,sz.300059,39.58,35.98,77385535,0,37.254,35.7845,41.6744,52.64886667,,64200057.25,83821219.4,0.044327177,0.056088934,-5,0,-5
2015/10/9,sz.300059,39.3,39.58,81482146,0,37.743,36.0925,41.2624,52.63586667,,62500373.15,83163242.6,0.007575758,0.032330827,-5,0,-5
2015/10/12,sz.300059,42.78,39.3,143378407,0,38.264,36.5295,40.8908,52.64606667,,65396748.7,83601923.52,0.084685598,0.087670599,-5,0,-5
2015/10/13,sz.300059,43.76,42.78,98320573,0,38.89,36.8775,40.6328,52.6628,,65418511.1,82785527.5,0.032075472,0.051801802,-5,0,-5
2015/10/14,sz.300059,44.2,43.76,88535449,0,39.56,37.204,40.497,52.68246667,,63225182.2,82170890.3,0.019372694,0.071082746,-5,0,-5
