,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
1392,300059.SZ,20160314,35.4,37.64,35.08,36.59,34.7,1.89,5.45,951277.01,3486986.3803,35.40499999999993,37.6325,40.56620000000007,47.026333333333284,53.384649999999986,673430.9555000009,689828.8263999986,0.033615819209039687,0.06801275239107339,-5.0,-15.000000000000002,-20.0
1393,300059.SZ,20160315,36.5,36.8,35.66,35.76,36.59,-0.83,-2.27,539655.38,1950521.524,35.53099999999993,37.334999999999994,40.20080000000008,46.85566666666662,53.110399999999984,655463.1375000009,688755.5391999987,0.02027397260273978,0.030978260869565236,-5.0,-13.000000000000002,-18.0
1394,300059.SZ,20160316,36.7,36.8,34.81,35.31,35.76,-0.45,-1.26,657053.58,2346743.4611,35.43599999999993,37.020999999999994,39.839400000000076,46.71333333333329,52.86489999999998,660155.0605000008,694672.5059999987,0.03787465940054497,0.05407608695652161,-5.0,-15.000000000000002,-20.0
1395,300059.SZ,20160317,35.51,38.84,35.4,38.84,35.31,3.53,10.0,1671764.16,6337431.8444,35.70499999999993,36.89149999999999,39.53160000000007,46.63233333333329,52.67919999999998,712356.1245000008,719546.1881999986,0.09377640101379908,0.08856848609680754,-5.0,-15.000000000000002,-20.0
1396,300059.SZ,20160318,39.19,42.72,38.85,42.72,38.84,3.88,9.99,1757740.3,7152212.5327,36.556999999999924,36.93599999999999,39.34540000000007,46.60979999999996,52.50819999999998,774468.3465000009,746957.0815999985,0.09007399846899723,0.09058988764044938,-5.0,-7.500000000000002,-12.500000000000002
1397,300059.SZ,20160321,44.8,46.77,43.9,45.01,42.72,2.29,5.36,2119258.39,9531707.9718,37.52999999999993,37.0605,39.309000000000076,46.57179999999996,52.34349999999998,841339.1345000009,778272.1211999985,0.004687500000000019,0.06136412230062015,-5.0,-7.000000000000002,-12.000000000000002
1398,300059.SZ,20160322,43.49,44.5,43.04,43.83,45.01,-1.18,-2.62,1206070.03,5286673.1952,38.26299999999993,37.182,39.299800000000076,46.53799999999996,52.178649999999976,874214.5520000008,785191.7357999986,0.007817889169924035,0.03280898876404496,-5.0,-7.000000000000002,-12.000000000000002
1399,300059.SZ,20160323,43.71,47.0,43.53,46.6,43.83,2.77,6.32,1546806.67,6978278.0513,39.38099999999993,37.457499999999996,39.32080000000007,46.51866666666663,52.02514999999998,927632.8785000008,797348.8017999987,0.06611759322809427,0.07382978723404253,-5.0,-11.000000000000002,-16.0
1400,300059.SZ,20160324,45.2,47.3,44.5,44.55,46.6,-2.05,-4.4,1542976.96,7021648.9967,40.39099999999993,37.836,39.391800000000075,46.511599999999966,51.871349999999985,966414.5735000009,822282.0899999988,0.014380530973451452,0.05919661733615216,-5.0,-9.000000000000002,-14.000000000000002
1401,300059.SZ,20160325,44.0,44.7,42.8,43.76,44.55,-0.79,-1.77,881707.89,3847322.061,41.296999999999926,38.180499999999995,39.43900000000007,46.480466666666636,51.69639999999998,987311.6825000008,821401.7465999988,0.0054545454545455,0.04250559284116343,-5.0,-7.000000000000002,-12.000000000000002
1402,300059.SZ,20160328,44.11,44.48,42.71,43.04,43.76,-0.72,-1.65,712270.96,3108517.3487,41.941999999999936,38.6735,39.50180000000007,46.46466666666664,51.525499999999994,984839.5850000009,818411.3865999988,0.024257537973248703,0.03979316546762581,-5.0,-7.500000000000002,-12.500000000000002
1403,300059.SZ,20160329,42.81,43.99,41.88,42.79,43.04,-0.25,-0.58,887179.83,3813079.7013,42.64499999999994,39.087999999999994,39.524400000000064,46.45799999999997,51.319449999999996,990614.9155000008,817214.4957999988,0.000467180565288557,0.04796544669243008,-5.0,-3.9999999999999996,-9.0
1404,300059.SZ,20160330,43.4,45.5,43.13,44.97,42.79,2.18,5.09,1314791.04,5833234.1756,43.61099999999993,39.5235,39.634000000000064,46.44639999999997,51.15169999999999,1012608.5830000008,829462.5895999988,0.03617511520737328,0.05208791208791203,-5.0,-10.500000000000002,-15.500000000000002
1405,300059.SZ,20160331,44.8,45.3,44.18,44.3,44.97,-0.67,-1.49,889244.25,3964865.663,44.15699999999993,39.931,39.661000000000065,46.39919999999997,51.00869999999999,1017566.9230000008,820174.0239999987,0.011160714285714286,0.02472406181015447,-5.0,-3.999999999999999,-9.0
1406,300059.SZ,20160401,44.0,44.07,42.19,43.0,44.3,-1.3,-2.93,707619.08,3047814.3935,44.18499999999993,40.370999999999995,39.69560000000006,46.340599999999974,50.852249999999984,1016809.0635000007,816169.5439999987,0.022727272727272728,0.04265940549126396,-5.0,-7.500000000000002,-12.500000000000002
1407,300059.SZ,20160405,43.0,45.8,42.59,44.74,43.0,1.74,4.05,935264.19,4145079.1904,44.15799999999994,40.843999999999994,39.731800000000064,46.309866666666636,50.68139999999998,1031130.1775000008,815866.4661999987,0.04046511627906981,0.07008733624454136,-5.0,-10.500000000000002,-15.500000000000002
1408,300059.SZ,20160406,44.3,44.49,43.65,44.2,44.74,-0.54,-1.21,595922.16,2628431.306,44.194999999999936,41.229,39.72600000000006,46.2647333333333,50.468399999999995,1017179.3000000007,806801.8943999986,0.002257336343114996,0.018880647336480184,-5.0,-1.9999999999999996,-7.0
1409,300059.SZ,20160407,44.46,44.53,42.8,42.8,44.2,-1.4,-3.17,580721.77,2525480.0003,43.814999999999934,41.598,39.728800000000064,46.21739999999997,50.20499999999999,1020267.1280000007,799525.7857999987,0.03733693207377426,0.03885021333932189,-5.0,-7.500000000000002,-12.500000000000002
1410,300059.SZ,20160408,42.33,43.3,41.66,42.5,42.8,-0.3,-0.7,590475.57,2509210.1169,43.609999999999935,42.000499999999995,39.76340000000006,46.18119999999997,49.90839999999999,1024953.6375000008,797443.6371999986,0.004016064257028153,0.037875288683602785,-5.0,-3.9999999999999996,-9.0
1411,300059.SZ,20160411,43.79,44.4,43.25,43.29,42.5,0.79,1.86,827635.37,3628925.1048,43.56299999999994,42.42999999999999,39.805200000000056,46.173799999999964,49.66285,1045771.7295000007,801096.2991999985,0.011418131993605847,0.02590090090090087,-5.0,-3.9999999999999996,-9.0
1412,300059.SZ,20160412,43.75,44.5,42.71,44.5,43.29,1.21,2.8,828795.58,3621178.644,43.70899999999993,42.82549999999999,39.88060000000006,46.16246666666664,49.4486,1039647.6580000005,807327.7997999985,0.017142857142857144,0.040224719101123574,-5.0,-10.500000000000002,-15.500000000000002
1413,300059.SZ,20160413,45.3,47.0,45.0,45.35,44.5,0.85,1.91,1347721.82,6202322.5747,43.96499999999993,43.30499999999999,40.04540000000006,46.1627333333333,49.251099999999994,1080050.9800000007,820148.4939999986,0.0011037527593819926,0.0425531914893617,-5.0,-7.600000000000001,-12.600000000000001
1414,300059.SZ,20160414,45.77,46.48,45.11,46.0,45.35,0.65,1.43,729494.67,3342487.1705,44.06799999999994,43.83949999999999,40.19980000000006,46.194533333333304,49.041599999999995,1083673.0345000008,817510.8347999986,0.005025125628140635,0.029475043029259844,-5.0,-5.6000000000000005,-10.600000000000001
1415,300059.SZ,20160415,47.01,47.17,45.0,45.29,46.0,-0.71,-1.54,617312.61,2816338.647,44.16699999999994,44.161999999999985,40.37200000000006,46.24906666666664,48.844350000000006,1030950.4570000008,818649.2801999985,0.03658796000850881,0.046003815984736095,-5.0,-11.100000000000001,-16.1
1416,300059.SZ,20160418,24.36,24.41,23.5,23.85,25.11,-1.26,-5.02,1079828.09,2587360.2107,42.25199999999994,43.218499999999985,40.07800000000006,46.18539999999998,48.5501,997054.8465000007,824899.9499999986,0.020935960591132924,0.03727980335927899,-5.0,-15.600000000000001,-20.6
1417,300059.SZ,20160419,23.95,24.27,23.43,23.83,23.85,-0.02,-0.08,892119.4,2124656.3277,40.16099999999994,42.15949999999999,39.802200000000056,46.14386666666664,48.2971,935697.8970000006,831992.8027999985,0.005010438413361211,0.03461063040791099,-5.0,-10.100000000000001,-15.100000000000001
1418,300059.SZ,20160420,23.82,23.96,21.51,21.92,23.83,-1.91,-8.02,1644932.57,3700561.9477,37.93299999999994,41.06399999999998,39.451600000000056,46.06953333333331,48.033550000000005,957641.0240000006,850516.5531999986,0.07976490344248524,0.10225375626043402,-5.0,-15.600000000000001,-20.6
